group,axis,value,description
Embedded systems ,spm,100,221.0
Embedded systems ,scratchpad,85.067873303167,188.0
Embedded systems ,pad,81.900452488688,181.0
Embedded systems ,scratch,71.493212669683,158.0
Embedded systems ,embedded,41.628959276018,92.0
Embedded systems ,cache,40.723981900452,90.0
Embedded systems ,memories,26.696832579186,59.0
Embedded systems ,benchmarks,17.194570135747,38.0
Embedded systems ,average,16.289592760181,36.0
Embedded systems ,allocation,12.217194570136,27.0
Embedded systems ,energy,10.407239819005,23.0
Embedded systems ,chip,7.6923076923077,17.0
Embedded systems ,consumption,6.7873303167421,15.0
Embedded systems ,compiler,5.8823529411765,13.0
Embedded systems ,instruction,4.9773755656109,11.0
Embedded systems ,java,4.5248868778281,10.0
Embedded systems ,processor,3.1674208144796,7.0
Embedded systems ,processors,2.7149321266968,6.0
Embedded systems ,execution,2.262443438914,5.0
