group,axis,value,description
P100035,15,0.123,0.123
P100035,265,0.185,0.185
P100035,314,0.032,0.032
P100035,334,0.476,0.476
P100035,144,0,0
P100035,194,0,0
P100040,15,0,0
P100040,265,0,0
P100040,314,0,0
P100040,334,0,0
P100040,144,0.568,0.568
P100040,194,0.432,0.432
