group,axis,value,description
Wolff Gregory,Tangible (physical) interfaces and augmented reality,100,P100004
Wolff Gregory,File systems & storage management,0,P100004
Wolff Gregory,Network protocols and packet switching,0,P100004
Wolff Gregory,Electronic communication (internet, mail, video),0,P100004
Wolff Gregory,Facility locations,0,P100004
Bartels Gretta,Tangible (physical) interfaces and augmented reality,0,P100038
Bartels Gretta,File systems & storage management,100,P100038
Bartels Gretta,Network protocols and packet switching,0,P100038
Bartels Gretta,Electronic communication (internet, mail, video),0,P100038
Bartels Gretta,Facility locations,0,P100038
Burkhart Grey,Tangible (physical) interfaces and augmented reality,0,P100039
Burkhart Grey,File systems & storage management,0,P100039
Burkhart Grey,Network protocols and packet switching,10.4,P100039
Burkhart Grey,Electronic communication (internet, mail, video),31.9,P100039
Burkhart Grey,Facility locations,57.7,P100039
Burkhart Grey,Tangible (physical) interfaces and augmented reality,0,P100040
Burkhart Grey,File systems & storage management,0,P100040
Burkhart Grey,Network protocols and packet switching,0,P100040
Burkhart Grey,Electronic communication (internet, mail, video),56.8,P100040
Burkhart Grey,Facility locations,43.2,P100040
