group,axis,value,description
Burkhart Grey,Network protocols and packet switching,10.4,P100039
Burkhart Grey,Electronic communication (internet, mail, video),31.9,P100039
Burkhart Grey,Facility locations,57.7,P100039
Burkhart Grey,Privacy and security policies,0,P100039
Burkhart Grey,Network protocols and packet switching,0,P100040
Burkhart Grey,Electronic communication (internet, mail, video),56.8,P100040
Burkhart Grey,Facility locations,43.2,P100040
Burkhart Grey,Privacy and security policies,0,P100040
Vedder Grichard,Network protocols and packet switching,0,P100043
Vedder Grichard,Electronic communication (internet, mail, video),0,P100043
Vedder Grichard,Facility locations,0,P100043
Vedder Grichard,Privacy and security policies,100,P100043
