group,axis,value,description
Similarity queries in databases and related indexes,longest subsequence,100,616.0
Similarity queries in databases and related indexes,similarity query,71.428571428571,440.0
Similarity queries in databases and related indexes,trajectory,37.175324675325,229.0
Similarity queries in databases and related indexes,trajectories,35.064935064935,216.0
Similarity queries in databases and related indexes,similarity,17.045454545455,105.0
Similarity queries in databases and related indexes,indexing,16.396103896104,101.0
Similarity queries in databases and related indexes,series,15.422077922078,95.0
Similarity queries in databases and related indexes,nearest,11.688311688312,72.0
Similarity queries in databases and related indexes,sequences,11.363636363636,70.0
Similarity queries in databases and related indexes,index,9.7402597402597,60.0
Similarity queries in databases and related indexes,distance,9.4155844155844,58.0
Similarity queries in databases and related indexes,sequence,5.5194805194805,34.0
Similarity queries in databases and related indexes,query,4.5454545454545,28.0
Similarity queries in databases and related indexes,matching,4.2207792207792,26.0
Similarity queries in databases and related indexes,dimensional,4.0584415584416,25.0
Similarity queries in databases and related indexes,retrieval,3.7337662337662,23.0
Similarity queries in databases and related indexes,feature,2.5974025974026,16.0
Similarity queries in databases and related indexes,tree,2.5974025974026,16.0
Similarity queries in databases and related indexes,database,2.2727272727273,14.0
Similarity queries in databases and related indexes,databases,2.1103896103896,13.0
Similarity queries in databases and related indexes,queries,1.9480519480519,12.0
Similarity queries in databases and related indexes,switch,0,0
Similarity queries in databases and related indexes,slot,0,0
Similarity queries in databases and related indexes,slots,0,0
Similarity queries in databases and related indexes,cells,0,0
Similarity queries in databases and related indexes,switches,0,0
Similarity queries in databases and related indexes,port,0,0
Similarity queries in databases and related indexes,queueing,0,0
Similarity queries in databases and related indexes,atm,0,0
Similarity queries in databases and related indexes,cell,0,0
Similarity queries in databases and related indexes,buffer,0,0
Similarity queries in databases and related indexes,queue,0,0
Similarity queries in databases and related indexes,switching,0,0
Similarity queries in databases and related indexes,packets,0,0
Similarity queries in databases and related indexes,scheduling,0,0
Similarity queries in databases and related indexes,output,0,0
Similarity queries in databases and related indexes,throughput,0,0
Similarity queries in databases and related indexes,packet,0,0
Similarity queries in databases and related indexes,traffic,0,0
Similarity queries in databases and related indexes,delay,0,0
Packets switching,longest subsequence,0,0
Packets switching,similarity query,0,0
Packets switching,trajectory,0,0
Packets switching,trajectories,0,0
Packets switching,similarity,0,0
Packets switching,indexing,0,0
Packets switching,series,0,0
Packets switching,nearest,0,0
Packets switching,sequences,0,0
Packets switching,index,0,0
Packets switching,distance,0,0
Packets switching,sequence,0,0
Packets switching,query,0,0
Packets switching,matching,0,0
Packets switching,dimensional,0,0
Packets switching,retrieval,0,0
Packets switching,feature,0,0
Packets switching,tree,0,0
Packets switching,database,0,0
Packets switching,databases,0,0
Packets switching,queries,0,0
Packets switching,switch,70.779220779221,436.0
Packets switching,slot,45.616883116883,281.0
Packets switching,slots,23.376623376623,144.0
Packets switching,cells,21.753246753247,134.0
Packets switching,switches,18.344155844156,113.0
Packets switching,port,14.935064935065,92.0
Packets switching,queueing,13.798701298701,85.0
Packets switching,atm,7.7922077922078,48.0
Packets switching,cell,7.1428571428571,44.0
Packets switching,buffer,6.3311688311688,39.0
Packets switching,queue,5.5194805194805,34.0
Packets switching,switching,4.8701298701299,30.0
Packets switching,packets,4.0584415584416,25.0
Packets switching,scheduling,3.7337662337662,23.0
Packets switching,output,3.4090909090909,21.0
Packets switching,throughput,3.4090909090909,21.0
Packets switching,packet,3.0844155844156,19.0
Packets switching,traffic,2.5974025974026,16.0
Packets switching,delay,1.1363636363636,7.0
