group,axis,value,description
Similarity queries in databases and related indexes,longest subsequence,100,616.0
Similarity queries in databases and related indexes,similarity query,71.428571428571,440.0
Similarity queries in databases and related indexes,trajectory,37.175324675325,229.0
Similarity queries in databases and related indexes,trajectories,35.064935064935,216.0
Similarity queries in databases and related indexes,similarity,17.045454545455,105.0
Similarity queries in databases and related indexes,indexing,16.396103896104,101.0
Similarity queries in databases and related indexes,series,15.422077922078,95.0
Similarity queries in databases and related indexes,nearest,11.688311688312,72.0
Similarity queries in databases and related indexes,sequences,11.363636363636,70.0
Similarity queries in databases and related indexes,index,9.7402597402597,60.0
Similarity queries in databases and related indexes,distance,9.4155844155844,58.0
Similarity queries in databases and related indexes,sequence,5.5194805194805,34.0
Similarity queries in databases and related indexes,query,4.5454545454545,28.0
Similarity queries in databases and related indexes,matching,4.2207792207792,26.0
Similarity queries in databases and related indexes,dimensional,4.0584415584416,25.0
Similarity queries in databases and related indexes,retrieval,3.7337662337662,23.0
Similarity queries in databases and related indexes,feature,2.5974025974026,16.0
Similarity queries in databases and related indexes,tree,2.5974025974026,16.0
Similarity queries in databases and related indexes,database,2.2727272727273,14.0
Similarity queries in databases and related indexes,databases,2.1103896103896,13.0
Similarity queries in databases and related indexes,queries,1.9480519480519,12.0
Similarity queries in databases and related indexes,thermal,0,0
Similarity queries in databases and related indexes,temperature,0,0
Similarity queries in databases and related indexes,thermal aware,0,0
Similarity queries in databases and related indexes,temperature aware,0,0
Similarity queries in databases and related indexes,heat dissipation,0,0
Similarity queries in databases and related indexes,heating cooling,0,0
Similarity queries in databases and related indexes,temperature temperature,0,0
Similarity queries in databases and related indexes,heat,0,0
Similarity queries in databases and related indexes,cooling,0,0
Similarity queries in databases and related indexes,scaling,0,0
Similarity queries in databases and related indexes,energy consumption,0,0
Similarity queries in databases and related indexes,aware,0,0
Similarity queries in databases and related indexes,voltage,0,0
Similarity queries in databases and related indexes,leakage,0,0
Similarity queries in databases and related indexes,reliability,0,0
Similarity queries in databases and related indexes,frequency,0,0
Similarity queries in databases and related indexes,chip,0,0
Similarity queries in databases and related indexes,cores,0,0
Similarity queries in databases and related indexes,core,0,0
Similarity queries in databases and related indexes,energy,0,0
Similarity queries in databases and related indexes,sensor,0,0
Similarity queries in databases and related indexes,consumption,0,0
Similarity queries in databases and related indexes,circuit,0,0
Similarity queries in databases and related indexes,processor,0,0
Similarity queries in databases and related indexes,processors,0,0
Thermal and temperature management,longest subsequence,0,0
Thermal and temperature management,similarity query,0,0
Thermal and temperature management,trajectory,0,0
Thermal and temperature management,trajectories,0,0
Thermal and temperature management,similarity,0,0
Thermal and temperature management,indexing,0,0
Thermal and temperature management,series,0,0
Thermal and temperature management,nearest,0,0
Thermal and temperature management,sequences,0,0
Thermal and temperature management,index,0,0
Thermal and temperature management,distance,0,0
Thermal and temperature management,sequence,0,0
Thermal and temperature management,query,0,0
Thermal and temperature management,matching,0,0
Thermal and temperature management,dimensional,0,0
Thermal and temperature management,retrieval,0,0
Thermal and temperature management,feature,0,0
Thermal and temperature management,tree,0,0
Thermal and temperature management,database,0,0
Thermal and temperature management,databases,0,0
Thermal and temperature management,queries,0,0
Thermal and temperature management,thermal,255.51948051948,1574.0
Thermal and temperature management,temperature,218.66883116883,1347.0
Thermal and temperature management,thermal aware,200,1232.0
Thermal and temperature management,temperature aware,71.428571428571,440.0
Thermal and temperature management,heat dissipation,57.142857142857,352.0
Thermal and temperature management,heating cooling,57.142857142857,352.0
Thermal and temperature management,temperature temperature,57.142857142857,352.0
Thermal and temperature management,heat,52.597402597403,324.0
Thermal and temperature management,cooling,34.74025974026,214.0
Thermal and temperature management,scaling,16.233766233766,100.0
Thermal and temperature management,energy consumption,16.071428571429,99.0
Thermal and temperature management,aware,9.5779220779221,59.0
Thermal and temperature management,voltage,9.4155844155844,58.0
Thermal and temperature management,leakage,8.4415584415584,52.0
Thermal and temperature management,reliability,8.1168831168831,50.0
Thermal and temperature management,frequency,7.7922077922078,48.0
Thermal and temperature management,chip,7.3051948051948,45.0
Thermal and temperature management,cores,7.3051948051948,45.0
Thermal and temperature management,core,6.3311688311688,39.0
Thermal and temperature management,energy,6.3311688311688,39.0
Thermal and temperature management,sensor,4.7077922077922,29.0
Thermal and temperature management,consumption,4.3831168831169,27.0
Thermal and temperature management,circuit,1.7857142857143,11.0
Thermal and temperature management,processor,1.461038961039,9.0
Thermal and temperature management,processors,1.2987012987013,8.0
