quarter,100,112,130,137,141,146,15,159,168,174,175,180,181,186,199,203,209,217,220,232,235,255,266,267,269,271,274,277,284,294,316,321,331,335,336,353,365,374,375,380,382,39,396,41,42,48,58,67,77,82,92,97
1950-1979,0.003448527,0,0,0,0,0,0,0,0,0.00549216,0,0,0.012778083,0,0,0,0,0,0,0,0,0,0,0,0.043751944,0.14533787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006246732,0,0,0,0,0,0,0,0.003370753,0.007952793,0.002556609,0
1980-1989,0.000422205,0,0,0,0,0.00276153,0,0,0.000442344,0.03294,0,0,0,0,0.001722503,0,0,0,0,0.003437521,0.000785775,0.002602379,0.002361246,0.004602906,0.011629436,0.063028469,0,0,0,0.000407413,0,0.009758475,0.000647119,0,0,0.000433611,0,0,0,0.001217426,0,0,0,0,0.001731058,0,0,0,0.004737998,0.001283367,0.000395294,0
1990-1995,0,0,0,0,0.006360323,0,0,0.000625274,0,0.06732544,0,0,0,0,0,0,0,0,0,0.020707755,0,0,0.001738488,0,0,0.017316532,0,0,0.000329091,0,0,0.00402947,0,0,0,0,0,0,0,0.002056504,0,0,0,0,0.001666658,0,0,0,0.002440022,0.002150169,0,0
1995-1999,0,0,0.001472156,0,0.02567725,0.001468143,0,0.003280768,0.000449143,0.061227464,0.000299696,0.007282444,0.000394244,0.00105592,0.000271444,0,0,0,0,0.025001128,0,0.00098834,0.000394726,0.000771794,0,0.001943291,0,0,0,0.00085013,0,0.004044376,0.000606616,0.000661033,0,0,0,0,0,0,0,0,0.000309488,0.000550433,0,0,0,0,0.000392318,0.003448835,0.002114729,0
2000,0,0,0.002881166,0,0.018136973,0.004560004,0,0,0,0.09881466,0,0,0.003216431,0,0.000572011,0,0,0,0,0.024299412,0,0,0.001190266,0.002393097,0,0.003429553,0,0,0,0,0.002415214,0,0.000752964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890689,0,0.003775876,0
2001,0,0,0,0,0.083160974,0,0,0.005755731,0,0.048882433,0,0,0,0,0,0,0,0,0,0.04375813,0,0,0,0,0.009938471,0.000889502,0,0,0,0,0,0,0.00129186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007494573,0,0
2002,0,0,0,0,0.04211562,0.004049303,0,0.005808622,0,0.162668199,0,0,0,0,0,0,0,0,0,0.012124961,0,0,0,0,0,0.002161859,0,0,0,0,0,0,0.004954779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003985241,0.002070069,0.008551822,0
2003,0,0,0.010458187,0,0.105231068,0,0,0.005821424,0,0.033364793,0.00391333,0,0,0,0,0,0,0,0,0.030058799,0,0,0,0,0.00681496,0.00450961,0,0,0,0,0.00143186,0,0.00695475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001807003,0,0,0,0.007596836,0
2004,0,0,0.014407484,0.000962121,0.055429334,0.003413665,0,0.019471736,0,0.134399004,0,0.001286614,0,0,0.001504565,0,0,0.005606155,0,0.027816071,0,0,0,0.002017264,0.00416054,0,0,0,0,0,0,0,0.000810151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013326923,0.025504059,0
2005,0,0,0,0,0.102308086,0.013750459,0,0.025346861,0,0.079294338,0.001163739,0.00329679,0,0,0,0,0,0.0030706,0,0.000837134,0,0,0,0,0.001095344,0,0,0,0,0,0.000846868,0,0.006053593,0,0,0,0,0,0,0.000952918,0,0,0,0,0,0.001992675,0,0.000564579,0,0.040860987,0.015678069,0
2006,0,0,0,0,0.031637849,0.003597519,0,0.005700064,0,0.029578427,0,0,0,0,0,0,0,0,0.002338291,0.004871121,0,0,0.014437991,0,0,0.005054159,0,0,0,0.000986107,0,0,0.021639736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018679498,0.027728877,0
2007,0,0,0,0,0.041634967,0,0,0,0,0.058717374,0,0,0,0,0,0,0,0,0,0.017073941,0,0,0,0,0,0.006917389,0,0,0,0,0,0,0,0,0,0.003124255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011859591,0,0
2008,0,0,0,0,0.035861744,0,0,0,0,0.054293972,0,0,0,0,0,0,0,0,0,0.043014224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010863761,0,0
2009,0,0,0,0,0.03861749,0.005625244,0,0.003302248,0,0.070741343,0,0,0,0,0,0,0,0.003090609,0,0.014575411,0,0,0,0.003837226,0.00945659,0,0,0,0,0.007194903,0,0,0.012432981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002791626,0,0,0
2010,0,0,0,0,0.045863717,0.001518592,0,0,0,0.033366667,0,0.007364781,0,0,0,0,0,0.002318078,0,0.009873007,0,0,0,0,0,0,0.008474554,0,0,0.004968051,0,0,0.006662097,0,0,0,0,0,0,0,0,0,0,0,0,0.002860864,0,0,0,0.025588746,0,0
2011,0,0,0.007670253,0.001701597,0.024172705,0.00619045,0,0.003901877,0,0.029147528,0,0.005441013,0,0,0,0,0,0.005750394,0,0,0,0,0,0,0,0.000746612,0,0,0,0.002159312,0.001307454,0,0.01338533,0,0,0.00467533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001294033,0.003697035,0
