quarter,100,112,130,137,141,146,15,159,168,174,175,180,181,199,209,217,220,232,235,255,266,267,269,271,274,277,284,294,316,321,331,335,336,353,365,374,380,382,39,396,41,42,48,67,77,82,92,97
1950-1979,0.036711141,0,0,0,0.003494134,0.002565466,0,0.000242758,0.006671062,0.011854325,0,0.000433185,0.022091891,0,0,0,0.000170906,0,0.005812377,0,0.006118887,0.071300384,0.009206521,0.080793168,0,0.000649361,0,0,0,0.008817361,0,0,0,0,0,0,0,0.004120237,0,0,0,0,0,0,0.0191382,0.001416364,0.001017548,0
1980-1989,0.003799685,0,0,0.000297688,0.001232986,0.000375745,0,0.001822744,0.001368611,0.016424854,0,0,0.003093337,0.000246795,0.000591939,0,0,0,0.00319737,0.000244945,0.002436296,0.047495241,0,0.11088916,0,0,0.014252075,0.000136749,0,0.007028317,0.000862396,0,0,0.000295639,0,0,0.006175901,0.001458433,0.000194118,0,0,0.000815469,0,0,0.028833167,0.000214145,0.000559024,0.000102975
1990-1995,0.000260139,0,0.000162094,0.00027001,0.002127835,0.000164726,0,0.000136321,0.002013887,0.015931122,0,0,0.002757455,0.000750478,0,0.000959072,0,0.010238326,0,0.000856859,0.000306091,0.03820857,0,0.020444518,0,0.000351495,0.012455652,0,0,0.002059839,0.00013007,0.000552741,0,0,0,0,0.005084233,0.000421575,0,0,0,0,0,0,0.009616273,0,0.000877915,0
1995-1999,0.000349048,0,0,0.000223649,0.001920928,0.001375381,0,0.000748911,0.001755067,0.010417571,0.000192801,0.000131316,0.000609884,0.001281041,0,0,0,0.008761282,0.000352957,0.000395849,0.003870591,0.021388929,0.000354225,0.007191621,0,0,0.001419329,0,0,0.001057392,0,0.000313235,0,0,0,0,0.001507437,0,0,0,0,0,0.000359296,0.00132182,0.003750262,0,0.00029686,0
2000,0.002189819,0,0,0,0.007469276,0.011007923,0,0.001268991,0,0.012512223,0,0.001748614,0,0,0,0.003568661,0,0.0088097,0,0,0.008184809,0.014470935,0,0.002711462,0,0,0.003543449,0,0,0.003165273,0.005433729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009593065,0,0,0
2001,0,0,0.003562948,0,0,0,0,0,0.001034302,0.00987346,0,0,0,0,0,0.001592698,0,0.00278627,0,0,0.008420361,0.009908994,0.005038256,0.005670894,0,0,0,0,0,0,0.006207081,0,0,0,0,0,0,0,0,0,0,0,0.004872641,0,0,0.001648538,0,0
2002,0.001262358,0,0.002286782,0.001002448,0.018911279,0.011327411,0.003734246,0,0,0.014148382,0,0,0.004502142,0,0,0,0.003936257,0,0.003967109,0,0.005813523,0.003906252,0.007686563,0.001755552,0,0,0.004382119,0.000478403,0.002211134,0,0.001549738,0,0,0.000728592,0,0,0,0,0,0,0,0,0,0.006095409,0.003586753,0,0,0
2003,0.002097453,0,0,0.000931776,0.009337372,0.00638324,0,0,0.001773149,0.01298938,0,0,0,0.00144167,0,0,0.002882383,0.000959041,0,0,0.004744501,0.008302756,0.000783496,0.002972308,0,0,0,0,0,0,0.006112987,0,0,0,0,0,0,0,0.000698354,0,0,0,0,0.006903179,0,0,0,0
2004,0.000654837,0,0.001740095,0,0.002324803,0.006377866,0,0.001928569,0.002348471,0.019072235,0,0,0,0.001342109,0,0,0.000994528,0,0,0,0.003606863,0.005414897,0,0.004376099,0,0,0.006882363,0,0,0,0.005383338,0,0,0.003110695,0,0,0.000489594,0.002318666,0,0,0,0,0.005503435,0.008604926,0,0,0,0
2005,0.000718198,0,0,0.001061507,0.024026894,0.001570328,0.002635344,0.005688856,0,0.018432784,0,0,0,0,0,0,0,0,0,0,0.003975825,0,0,0.00521805,0,0,0,0.003008479,0.00152237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008919579,0.002239399,0,0.005757284,0
2006,0,0,0,0.000554374,0.000840487,0.010124837,0,0,0,0.019240057,0,0,0,0,0.000848943,0,0,0,0,0,0.007529617,0,0,0,0.001208347,0.006753024,0.005405144,0,0,0,0,0,0,0.016310333,0,0.001975544,0,0,0,0,0,0,0,0.048284542,0.00338215,0,0.003415036,0
2007,0,0.003609126,0,0,0.004811499,0.009911689,0,0,0,0.04090777,0,0,0,0.000670102,0,0,0,0,0,0,0.012285362,0,0,0.006258959,0,0.006596265,0,0,0,0,0.002600215,0,0,0,0,0,0,0,0,0,0,0,0,0.028060565,0,0.001340704,0.009770351,0
2008,0,0,0,0,0,0.021896318,0.000462784,0,0,0.010105157,0,0,0.00256684,0.003149187,0,0,0,0,0.001594451,0,0,0,0,0,0,0.013081688,0,0,0,0.000964028,0,0,0,0.004505348,0,0.000753748,0,0,0.000471981,0,0,0,0,0.038210386,0.001024228,0.002182232,0.008676255,0
2009,0,0,0,0,0.010248839,0.03179314,0,0,0,0.017844649,0,0,0,0.001156739,0,0,0,0,0,0,0.001214806,0,0,0.000515522,0,0.026402461,0,0,0,0,0.003786398,0,0,0.006146258,0,0,0,0,0,0,0.000823207,0,0.0014885,0.0734375,0.001043437,0,0.007506586,0
2010,0,0,0,0.000655508,0.008202627,0.004321193,0,0,0,0.012265058,0,0,0.002216685,0,0,0,0,0,0,0,0.002998821,0.003290961,0,0,0,0.025114052,0.002497813,0,0,0,0,0,0,0.00040466,0.001105934,0,0,0,0,0,0,0,0.005544464,0.077676177,0,0.003319177,0.013421574,0
2011,0,0,0,0,0,0.01601343,0,0,0,0.014986749,0,0,0.00644051,0,0,0,0,0,0,0,0,0,0.000954885,0,0,0.038520583,0.000689662,0,0,0,0.000548182,0,0.000577323,0.060550505,0,0,0,0,0,0.001065535,0,0,0.004892253,0.056754617,0,0.005218713,0.022552342,0
